Code,Description1,Description2,OnHand,Value
1300120185,"QUICK CONNECT ELBOW 3/8"" D8MM",THREADED FROM ONE SIDE,19,453
1300108046,"QUICK CONNECT STRAIGHT 1/4"" D10","PORT TYPE 1/4"" G STRAIGHT",40,"1,800"
1300108042,"QUICK CONNECT STRAIGHT 1/4"" D6MM","PORT TYPE 1/4"" G STRAIGHT",0, -   
1300108045,"QUICK CONNECT STRAIGHT 1/4"" D8MM","PORT TYPE 1/4"" G STRAIGHT",0, -   
1300108043,"QUICK CONNECT STRAIGHT 1/8"" D6MM","PORT TYPE 1/8"" G STRAIGHT",0, -   
1300108044,"QUICK CONNECT STRAIGHT 1/8"" D8MM","PORT TYPE 1/8"" G STRAIGHT",0, -   
1300120182,"QUICK CONNECTION 3/8"" D8MM",THREADED FROM ONE SIDE,0, -   
1300120050,"QUICK CONNECTION TEE 1""",INTERNAL THREAD GALVANIZED,0, -   
1300120045,"QUICK CONNECTION TEE 1/2""",STEEL ,0, -   
1220703028,"QUICK COUPLER 1/2""",,0, -   
1300113083,QUICK COUPLER PLUG,"LECHLER,PN:9ET-.021.25.00.M3.0,F/2801A-B",8,"8,636"
1300120165,QUICK COUPLER SOCKET M30 D50/36,"LECHLER,PN:9ET-.021.25.00.F3.0,F/280A-B",8,"5,301"
1300120063,"REDUCER 0.5/1.5""",W/HEX.HEAD,0, -   
1300120065,"REDUCER 1""/1.5""",INTERNAL THREADED,21,"1,035"
1300120062,"REDUCER 1.5""/2""",,0, -   
1300120061,"REDUCER 3/4""",BOSCH,0, -   
1300120064,"REDUCER 3/4""/1""",INTERNAL THREADED,11,391
1300120191,"SLEEVE PVC 2X2""",THREADED FROM ONE SIDE ,0, -   
1300120190,"SLEEVE PVC 2X2""",WELDED,0, -   
1300120096,"BUSH 1""",,48,"1,680"
1300120052,"BUSH 1/2"" THREADED ST",,20,160
1300120048,"TEE 1 1/2"" THREAD",THREAD - STEEL,5,40
1300120180,"TEE 1/2"" THREAD SCH 40",SCH 40,10,314
1300120056,"UNION 1"" GALVANIZIED INCH THREADED",GALVANIZIED,17,935
1300120181,"UNION 1/2"" THREAD SP-83",CLASS 3000,32,"1,058"
1300120158,"UNION 2""",,10,0
1300120027,"UNION 2.5""",GALVANIZED,3,"6,419"
1300120054,"UNION 3/4""",,14,854
1321401293,UNION GREASE DWG:1KLM7428,MALE THREAD M12/M10 L48 ,40,"2,200"
1321401274,"UNION GREASE DWG:1KLM7543 G1""",F/CLINKER COOLER BEARING 2731A,65,"5,525"
1300120193,"UNION PVC 2""",WELDED ,0, -   
1300407137,FIXING CLAMP F/RS-STABILIZING BAR ,REF.350223B F/328ES01 ELEX ,0, -   
1321302018,FLANGE DWG:10026099,F/2726,1,"11,500"
1321308077,FLANGE DWG:2BKG1206,F/KILN BURNER 326 KI 02,1,"14,950"
1320401095,FLANGE DWG:2DSS0001,F/DSS CRUSHER,1,595
1300118009,FLANGE STEEL DI240 W/14 HOLES,2HALF,0, -   
1300513027,FLAP BUSH DO65XDI42XL44MM DWG 1PHM6970,"MAT GG20,F/FLAP DAMPERUNDER(C1) A/B",2,350
1300513028,FLAP BUSH DO70XDI47XL44MM DWG 1PHM6970,"MAT GG20,F/FLAP DAMPER UNDER(C2) A/B",4,740
1300513047,FLAP CASING DWG:2BKG1212,F/326KI02,1,"1,595"
1300112008,FLAP COMPLETE F/2 WAY CHUTE,"AUMUND COMM. No:46250,F/200VV01-04",1,"22,132"
1300513026,FLAP DAMPER DWG:1KLM7472,F/UNDER CYLONE 2,2,"65,000"
1300513050,FLAP DWG: 2BKG1250,"F/323 CY 06,UNDER THE CYCLONE 2 AT THE 5TH FLOOR",2,"40,850"
1300513049,FLAP DWG:1KLM7578,F/CYCLONE 1,4,"74,000"
1300112014,FLAP DWG:2 BKG 1204,F/GATE 50/50 & 30/70 AT THE 3RD FLOOR,2,"72,000"
1300112009,FLAP DWG:2BKG1199,F/UNDER THE CYCLONE 5 AT THE 2ND FLOOR,0, -   
1300112010,FLAP DWG:2BKG1200,AT THE 3RY PIPE BETWEENTHE 1ST & 2ND FLOOR,3,"53,680"
1300112011,FLAP DWG:2BKG1201,F/UNDER CYCLONE 5 AT THE 2ND FLOOR,1,"22,000"
1300112012,FLAP DWG:2BKG1202,F/UNDER CYCLONE 4 AT THE 3RD FLOOR,2,"68,000"
1300112013,FLAP DWG:2BKG1203,F/UNDER CYCLONE 4 AT THE 3RD FLOOR,2,"76,500"
1300112015,FLAP DWG:2BKG1205,F/UNDER THE CYCLONE 3 AT THE 4TH FLOOR,2,"43,000"
1300112016,FLAP DWG:2BKG1223,F/323CY05,2,"55,500"
1321401268,FLAP LEVER ARM DWG:115974,F/FLAP GATE 328VV04 EP FILTER,8,"47,592"
1321401280,FLAP LEVER ARM DWG:115974,F/FLAP GATE 328VV04 EP FILTER,2,"4,917"
1300513009,FLAP LEVER DO70XDI37.5XL180MM,F/2904A,2,"6,398"
1300513011,FLAP LEVER DO70XDI37.5XL270MM,F/2904A,2,"5,431"
1300513010,FLAP LEVER DO70XDI37.5XL285MM,F/2904A,2,"6,091"
1300513013,FLAP TOP RIGHT&LEFT IDA 430/490X370MM,F/2904A,2,"47,160"
1320501167,FLEXIBLE PIPE CONNECTION DS P/N:2710,DWG 4000084577 F/AERZEN BLOWER GM 90 S L2,1,"1,123"
1320501164,FLEXIBLE PIPE CONNECTION SS P/N:3450,DWG 4000085973 F/AERZEN BLOWER GM 35 S L2,1,714
1320504057,FLEXIBLE PIPE CONNECTOR P/N:0033,"DWG:HYDAC COM 8600011599-01,F/L1 COAL MILL",1,"6,521"
1300208014,FLOW CONTROL GATE COUPLING,"F/2604 GATE SIZE 400,IBAU ",2,"84,871"
1320504063,FLOW DIVIDER P/N:0020,"DWG:HYDAC COM 8600011599-01,F/L1 COAL MILL",1,"27,872"
1220310147,FLOW INDICATOR TYP 14050/70-350L/M,"DWG BCC1 M10 BM131 POS 17, F/CMC GEARBOX ",0, -   
1300123069,FLOW METER 2ND ROTOR,"TYPE:LB552-115-F312-620,F/2723A",1,"9,558"
1300123065,FLOW METER B552-115-F312-6A0,"PMAX 46KGF/CM2, 0.26-8M3/H P/N: B155-5132 3B",1,"73,625"
1300123071,FLOW METER BUSH TYPE LB552-115-F312-620,A(209) F/FLOW METER 2723,1,"1,455"
1300123068,FLOW METER FIRST ROTOR W/ SHAFT,TYPE:LB552-115-F312-620 F/2723,1,"21,895"
1300123072,FLOW METERUNIT TYPE:LB552-115-F312-620,F/2723A,2,"8,800"
1300123102,FLOW METER PROLINE T-MASS 65,"E&H,CODE:65I-20AB4AD2AAABA8",1,"30,815"
1300123074,FLOW METER PULSE GENERATOR PG20,"TYPE:LB552-115-F312-621,F/2723A",4,"18,998"
1300123515,FLOW METER REF.NO:38,F/CMC LUBRICATION UNIT FREE SIDE,1,"1,076"
1300123070,FLOW METER SHAFT SECOND,TYPE:LB552-115-F312-620,1,"5,576"
1300123067,FLOW METER SPINDLE 1MMTYPE:DK800RK1," 10-100NL/h-P6bar-20°C,F/LAB",0, -   
1300123066,FLOW METER SPINDLE 2.5MM TYPE:DKOOR," 10-100NL/h-P6bar-20°C,F/LAB",0, -   
1320501032,FLOW INDICATOR P/N:59901623,F/MAIN GEAR UNIT FLENDER DWG KMP280 L2,1,"25,249"
1310107163,FRICTION LINING 1000X1200,"P/N:00942770,CODE:843139703 AUMUND  F/322BE09",1,"101,602"
1310107167,FRICTION LINING 1000X830 HS,"P/N 942870 COM NO 46106,AUMUND",0, -   
1310107168,FRICTION LINING 1125X1200 HS,"P/N 20639051 COM NO 46105,AUMUND",0, -   
1310107174,FRICTION LINING 630X500 HS,"P/N:30031352,CODE:84313970 AUMUND",1,"20,846"
1300407521,"FRONT DISCHARGE ELECTRODE,ELEX FILTER",REF.A8730  FOR 328ES01 ELEX EP FILTER,10,"44,785"
1320120223,COUNTER KNIFE GM P/N:28732-9,F/SHREDDER LINDNER-GAEA,0, -   
1320120226,GREASE TYPE:KLUBERPLEX BEM41-132,F/SHREDDED MACHINE BEARING & MOTOR ,0, -   
1320120228,KNIFE P/N 28732-9,F/SHREDDER MACHINE,0, -   
1320120231,SCRAPER AK P/N28732-9,F/SHREDDER MACHINE,669,"420,480"
1320501135,GAS NOZZLE D:372MM DWG:21/37919/0-3,F/KILN BURNER,1,"118,600"
1300219020,GAUGE LEVEL F/3XRU20-9-L212,17X34X340L,1,490
1300219018,GAUGE LEVEL F/3XRV20-7-L212,17X34X280L,2,945
1300219019,GAUGE LEVEL F/5XRV20-300-L212,17X34X300L,1,507
1420303022,GAUGE LEVEL L310MM,,34,"1,190"
1400105027,GAUGE LEVEL OLG -30N,F/SERVO ACTUATOR,2,"1,514"
1300219017,GAUGE LEVEL TYPE:KL-80 L-H,F/GEAR REDUCER,1,428
1420302073,GAUGE PRESSURE 0-0.6 BAR G1/2,GAUGE D100,2,769
1420301006,GAUGE PRESSURE 0-1 BAR,F/VACCUM,0, -   
1420302066,GAUGE PRESSURE 0-1 BAR G1/2,GAUGE D100,4,720
1420302078,GAUGE PRESSURE 0-10 BAR,WA/ALARM CONTACT 10BAR,0, -   
1420302038,GAUGE PRESSURE 0-10 BAR G1/2,GAUGE D100,20,"5,167"
1420302088,GAUGE PRESSURE 0-10 BAR G1/2,GAUGE D100,12,"3,025"
1420302055,GAUGE PRESSURE 0-10 BAR G3/8,GAUGE D43,4,600
1420302035,GAUGE PRESSURE 0-100 MBAR G1/2,,20,"8,400"
1420302069,GAUGE PRESSURE 0-1000MBAR G3/4,GAUGE D100,2,"5,700"
1420302092,GAUGE PRESSURE 0-10KG/CM2 G1/4,,0, -   
1420303503,GAUGE PRESSURE 0-11 BAR G1/4,F/WATER SPRAY SYSTEM 334-AW02,2,887
1420302049,GAUGE PRESSURE 0-16 BAR G1/2,,0, -   
1420302065,GAUGE PRESSURE 0-16 BAR G1/4,"W/BUSH 3/8""",1,100
1320701627,"GAUGE PRESSURE 0-16 BAR G1/4"" REF 103",DWG:BCC M10 BM 034 F/CMC OIL COOLING UNIT ,2,470
1300123509,GAUGE PRESSURE 0-160BAR G1/2,F/THRUST UNIT,1,300
1320701654,GAUGE PRESSURE 0-16BAR G1/4,F/CMC OUTLET LP,6,"1,050"
1420302071,GAUGE PRESSURE 0-16KG/CM2 G1/2,,0, -   
1320701653,GAUGE PRESSURE 0-2.5 BAR,"GAUGE D63MM, F/CMC OUTLET/INLET LUB CIRCUIT",0, -   
1420302054,GAUGE PRESSURE 0-2.5BAR G1/2,GAUGE D100,12,"5,130"
1420303501,GAUGE PRESSURE 0-20 BAR,F/WATER SPRAY SYSTEM 334-AW02,0, -   
1420302053,GAUGE PRESSURE 0-25 BAR G1/2,GAUGE D100,3,746
1420302077,GAUGE PRESSURE 0-25 MBAR,WIKA 432.50.160MIT.891.34.500,0, -   
1420302045,GAUGE PRESSURE 0-250 BAR,"GAUGE D100,W/ OIL",0, -   
1420302056,GAUGE PRESSURE 0-250BAR G1/2,GAUGE D100,3,105
1321308533,"GAUGE PRESSURE 0-250MBAR G1/2""","GAUGE D:100MM,F/KILN MAIN BURNERS",0, -   
1320701655,GAUGE PRESSURE 0-315 BAR,"GAUGE D63MM, F/CMC OUTLET HP",0, -   
1420302039,GAUGE PRESSURE 0-3KG/CM2 G1/2,GAUGE D100 AV 1/2,10,"2,550"
1420302076,GAUGE PRESSURE 0-4 BAR G1/2,GAUGE D100,5,"1,375"
1420302063,GAUGE PRESSURE 0-4 BAR G1/4,,7,"1,744"
1420302051,GAUGE PRESSURE 0-40 BAR G1/2,GAUGE D100,8,"2,080"
1420302042,GAUGE PRESSURE 0-40 BAR G1/2,GAUGE D80,3,"1,050"
1420303017,GAUGE PRESSURE 0-40 BAR G1/2,GAUGE D70,11,"2,860"
1420302052,GAUGE PRESSURE 0-40 BAR G1/4,GAUGE D60,4,660
1420302057,GAUGE PRESSURE 0-40 BAR G3/8,GAUGE D100,5,"1,300"
1420302040,GAUGE PRESSURE 0-400 BAR G1/2,"W/BUSH 3/8"",D60MM",1,250
1420302102,GAUGE PRESSURE 0-400 BAR G1/2,GAUGE D100,0, -   
1310111139,GAUGE PRESSURE 0-400BAR G1/2,"D100 CONNECTION MA8U-400, F/2201A",1,715
1420302107,GAUGE PRESSURE 0-400BAR G1/4,W/GLYCERINE,2,430
1420302036,GAUGE PRESSURE 0-5 KG/CM2,,0, -   
1420302047,GAUGE PRESSURE 0-6 BAR G1/4,GAUGE D60MM,3,675
1420302502,GAUGE PRESSURE 0-60 BAR G1/2,"F/MY OIL VALVE TRAIN,PO/N.MEX5",1,292
1310111140,GAUGE PRESSURE 0-60BAR G1/2,"D100 CONNECTION MA8U-60, F/2201A",1,660
1420302089,GAUGE PRESSURE 0-70 BAR G1/2,GAUGE D100,3,795
1420300029,GAUGE PRESSURE 1-2BAR G1/2,,1,80
1321202020,"GAUGE PRESSURE -1-3 BAR G1/2""",F/2729,2,600
1420301501,GAUGE PRESSURE -1-9 BAR D1/2,F/HIGH PRESS. PUMP,1,"1,929"
1420200093,GAUGE TEMPERATURE 0-100°C,W/2CONTACT TYPE:TUS-M2RU-S,0, -   
1420102001,GAUGE TEMPERATURE 0-100°C G1/2,"F/2512A-B,2515A-B,3212A-B",3,"1,837"
1420102502,GAUGE TEMPERATURE 0-120°C,"BAMER,W/PIPE 6MM,F/THERMAL OIL HEATER",1,"2,290"
1320701660,GAUGE TEMPERATURE 0-120°C G1/2,HES F/CMC OUTLET/INLET&OUTLET LUB CIRCUIT,1,"4,636"
1420102006,GAUGE TEMPERATURE 0-120°C G1/2,F/2745A,1,625
1420103015,GAUGE TEMPERATURE 0-120°C G1/2,,2,"1,250"
1420102501,GAUGE TEMPERATURE 0-160°C,"RUGGER,W/PIPE 6MM,F/ MY OIL VALVE TRAIN",1,"2,296"
1420102019,GAUGE TEMPERATURE IDAL 0-500,MODEL 812 PAKKENS W/PROBE,0, -   
1220304012,GEAR BEVEL DO122XDI40XZ33XB34,"F/HANSEN DRIVE RDB44-ANN200, F/2207A",0, -   
1220304001,GEAR BEVEL DO142XDI42XZ35XB20,,1,"7,191"
1220304002,GEAR BEVEL DO145XDI42XZ39XB40,"(5-145,G29522)",1,"7,809"
1220304004,GEAR BEVEL DO2102XDI62XZ33XB45,"(2-2109,R-1G,29538A)",1,"7,960"
1220304003,GEAR BEVEL DO2104XDI62XZ39XB48,(G.B KSZRG 180),2,"27,746"
1220304011,GEAR BEVEL DO260XDI130XZ65XB25/15,"TYPE BNA3, F/CLAY STACKET 2313A",2,"12,712"
1220304009,GEAR BEVEL DO440XDI120XZ37XB90,NO.0557R1 STEEL,1,"3,977"
1220304010,GEAR BEVEL DO84XDI24XZ19XB64/44,,2,"7,609"
1220306022,GEAR BEVEL DO84XDI64XZ19XB42,W/SHAFT LS2107,1,"8,910"
1220304017,GEAR BEVEL DWG 1/4/5343133,"DO180XDI56XZ26XB40,P/N 402,F/2102A,GB TY KZO 225",1,"43,015"
1320601406,GEAR BEVEL RZY 200/1.27/1.6587,MALE W/SHAFT &FEMALE BEVEL GEARS,1,"25,014"
1220304015,GEAR BEVEL S/N:89N61497-07,F/CABLE REEL GEARBOX BNA47 2C5 M1642,2,"55,592"
1320607540,GEARBOX B3 SV9 S/N 4436131-020-1 160KW,WITHOUT MOTOR R17.96,1,"191,786"
1220310023,GEARBOX BNA301C5 PWH,WITHOUT MOTOR F/ CABLE REEL 2117 & 2202,1,"32,200"
1220310127,GEARBOX C312PP80 BONFIGLIOLI,WITHOUT MOTOR R52.4 FOR 325 RA 12,1,"12,825"
1321102035,GEARBOX DWG BCC1M15-PH175 DET.G MARK V,WITHOUT MOTOR FOR 334-FA01,1, -   
1220310173,GEARBOX F/GATE UNDER L2 UNBURNT SILO,WITHOUT MOTOR R100  ,0, -   
1220310152,GEARBOX F513-H50-P100 BONFIGLIOLI,WITHOUT MOTOR R65.8  ,0, -   
1220310150,GEARBOX F603-H60-P132 BONFIGLIOLI,WITHOUT MOTOR R77.6 F/334-SC26,0, -   
1220313069,GEARBOX FA47/A/GDT80K4/BMG/Z 0.55KW SEW,WITHOUT MOTOR R65.36 F/BAG LOADER TRAVELING ,1,"8,862"
1220313067,GEARBOX FA47/G DT80K4/BMG/Z 0.55KW SEW,WITHOUT MOTOR R87 F/BAG LOADER TRAVELING ,2,"162,351"
1220310162,GEARBOX K2SZRG-180 PWH,WITHOUT MOTOR F/CLAY STACKER TRAVEL,0, -   
1220313065,GEARBOX KA77/T DRS90L4BE5 2.2KW SEW,WITHOUT MOTOR R64.75 F/L2 BAG LOADER 3RD BELT,1,"16,075"
1220310118,GEARBOX KAF87 AD3 SEW,WITHOUT MOTOR R36.52 F/ROTARY VALVE 553RA01 ,1,"34,414"
1220310151,GEARBOX KCN 280 S/N: WHO 36100L ELECON,WITHOUT MOTOR R22.7  F/L2 BELT CONV. 432 BC19,0, -   
1310107164,GEARBOX KF68 FLENDER,WITHOUT MOTOR R  F/BUCKET ELEV 322BE01,0, -   
1220304018,GEARBOX KF87/A 15KW SEW,WITHOUT MOTOR R8.29 F/ CLINKER CRUSHER 327-CR04,2,"61,759"
1220310148,GEARBOX MRP1744 V-450A,WITHOUT MOTOR R  ,0, -   
1310111141,GEARBOX P/N1895038,WITHOUT MOTOR,1,"131,127"
1300514002,GEARBOX PHF011 KF87 11KW SEW,WITHOUT MOTOR R225 F/ STAR WHEEL FEEDER 236-RA14,0, -   
1220310029,GEARBOX RDB43-ANR-90 7.5KW HANSEN,WITHOUT MOTOR R87.852 F/ 2805 A/B ,1,"126,123"
1220310025,GEARBOX RDE-ANN43-200 HANSEN,WITHOUT MOTOR R200 F/ 2112 A/C ,0, -   
1220313073,GEARBOX RF27/A DRE90M4/TH 1.1KW SEW,WITHOUT MOTOR R6.59 F/L1 CHECK WEIGHER A/D ,1,"3,085"
1220313074,GEARBOX RF27/A DT80N2/TF 1.1KW SEW,WITHOUT MOTOR R11.86 F/L2 CHECK WEIGHER E/F ,1,"4,543"
1320501255,GEARBOX RF97/A 22KW SEW,WITHOUT MOTOR R8.39 F/COAL MILL SEPARATOR ,1,"9,402"
1220313075,GEARBOX SA47/A/T DRE80M4 0.75KW SEW,WITHOUT MOTOR R6.4 F/L1 ROLLER WAY A/D ,1,"7,997"
1220313063,GEARBOX SA47/A/T DRE80M4BE1 0.75KW SEW,WITHOUT MOTOR R10.8  F/L1 BELT AFTER BAG REMOVER,1,"4,012"
1220313070,GEARBOX SA47/A/T DRE90M4 1.1KW SEW,WITHOUT MOTOR R8.64 F/L1 BAG TRAP BELT ,1,"7,970"
1220313071,GEARBOX SA47/A/T DRS71M4 0.55KW SEW,WITHOUT MOTOR R6.4 F/L1 BAG TRAP ROLLER WAY ,1,"7,997"
1220313076,GEARBOX SA47/A/T DT90S4 1.1KW SEW,WITHOUT MOTOR R8.64 F/L2 FLAT BELT 553-BC05 ,2,"17,137"
1220313077,GEARBOX SA47/A/T DT90S4/C 1.1KW SEW,WITHOUT MOTOR R8.64 F/L2 BAG TRAP BELT ,1,"7,970"
1220313072,GEARBOX SA57/A/T DRE90M4/RS 1.1KW SEW,WITHOUT MOTOR R19.54 F/L1 DISCHARGE BELT 3423 ,1,"9,468"
1220313064,GEARBOX SA57/T DT90L4 1.5KW SEW,WITHOUT MOTOR R14.25 L2 BAG LOADER 1ST BELT,0, -   
1220313078,GEARBOX SA57/T DT90S4/RS 1.1KW SEW,WITHOUT MOTOR R19.54 F/L2 DIS. BELT E/F 553-BC04,0, -   
1220313066,GEARBOX SA67/T DV100M4/BMG 2.2KW SEW,WITHOUT MOTOR R13.73 F/L2 BAG LOADER 2ND BELT,1,"5,727"
1400115325,GEARBOX SA67/TDV100M4/BMG 2.2KW SEW,WITHOUT MOTOR R13.7,0, -   
1220310034,GEARBOX TND31-BN-31.5 30KW HANSEN,WITHOUT MOTOR R31.391 F/ 2731A ,1,"166,396"
1220310032,GEARBOX TND31-BN-35.5 55KW HANSEN,WITHOUT MOTOR R34.622 F/screw conveyor 2718A ,1,"92,442"
1220311030,GEAR HELICAL D125XDI45XZ59XB40,,1,480
1220303044,GEAR HELICAL DO1027XDI330XZ81XB245,F/GB SZN900,1, -   
1220311029,GEAR HELICAL DO112XDI25XZ63XB16,,1,480
1220311014,GEAR HELICAL DO116XDI58XZ32XB50,NO.438-0182,1,"4,213"
1220311017,GEAR HELICAL DO133.3XDI30XZ30XB25,"DWG:1XFM6564, F/3427A",0, -   
1220311026,GEAR HELICAL DO150.5XDI45XZ56XB35,"F/HANSEN DRIVE RDB44-ANN200, F/2207A",0, -   
1220311021,GEAR HELICAL DO161XDI52XZ42XB42,,1,"2,994"
1220311018,GEAR HELICAL DO168.5XDI90XZ42XB79,,1,"5,161"
1220311023,GEAR HELICAL DO175XDI60XZ40XB47,,2,"4,911"
1220311016,GEAR HELICAL DO185XDI60XZ42XB47,PZ442001,3,"5,066"
1220311002,GEAR HELICAL DO200XDI62XZ67XB45,(G.B.K2ZRG180),1,"7,191"
1220311020,GEAR HELICAL DO205XDI70XZ42XB55,,1,"1,986"
1220311025,GEAR HELICAL DO209XDI60XZ66XB47,,1,"8,643"
1220313028,GEAR HELICAL DO2170XDI180XZ24XB330,"W/SHAFT LS1200, F/GB SZN900",1,"180,455"
1220311015,GEAR HELICAL DO218XDI70XZ45XB55,,1,"2,430"
1220311022,GEAR HELICAL DO234XDI80XZ42XB65,,2,"12,270"
1220311019,GEAR HELICAL DO253XDI95XZ38XB73,,1,"7,888"
1220306071,GEAR HELICAL DO27XDI14XZ19XB20,F/3431A-556TG04-5A6TG/0405-5A6BC01,18,"4,770"
1220306005,GEAR HELICAL DO2807XDI132XZ67XB58,F/G.B K2SZG 250 ,1,"6,308"
1220311037,GEAR HELICAL DO32XDI14XZ24XB20,"L=20MM,HEAT TREATED,F/314-SC65,SEWP/N 41270",3,"2,116"
1220303065,GEAR HELICAL DO360XDI12XZ67XB82 KRUPP,"DWG R-4G 31350A,P/N 4,F/GB K3 SZG 450,F/2401",1,"29,233"
1320101998,GEAR HELICAL DO370XDI120XZ103XB100,"P/N 5714774 POS.241,F/2102A GB UNIT PB 2500",1,0
1320101999,GEAR HELICAL DO370XDI120XZ103XB100,"P/N 5708892 POS.341,F/2102A GB UNIT PB 2500",1,0
1220311028,GEAR HELICAL DO42XDI16XZ22XB23,,6,480
1220303066,GEAR HELICAL DO503XDI52XZ67XB105 KRUPP,"DWG R-4G 30753A,P/N 6,F/GB K3 SZG 450,F/2401",1,"50,319"
1220306008,GEAR HELICAL DO56XDI10XZ17XB90,W/SHAFT L192 D42/40,1,"7,809"
1220311009,GEAR HELICAL DO60XDI23XZ12XB98,,1,"1,430"
1220311008,GEAR HELICAL DO60XDI28XZ12XB95,,1,"1,430"
1220306029,GEAR HELICAL DO70XDI70/55/50/45XZ17XB180,W/SHAFT LS538,1,"4,162"
1220310037,GEAR HELICAL DO72XDI29.5XZ38XB20,F/2201A-2402A,2,"1,082"
1220306031,GEAR HELICAL DO72XDI60/55XZ17XB120,"W/SHAFT LS312 ,F/2117 POWER CABLE DRIVE ",2,"4,675"
1220311006,GEAR HELICAL DO74XDI30XZ38XB20,,2,"4,626"
1220303043,GEAR HELICAL DO800XDI268XZ85XB198,"500,0/3,70",1,"270,761"
1220306032,GEAR HELICAL DO82XDI70XZ17XB140,"W/SHAFT LS365 ,F/2117 POWER CABLE DRIVE ",1,"2,201"
1220311003,GEAR HELICAL DO88XDI24XZ40XB26,,1,250
1220306026,GEAR HELICAL DO98XDI80XZ16XB142,W/SHAFT LS405,1,"7,035"
1220311027,GEAR HELICAL DOXDI80XZ75XB65,"F/HANSEN DRIVE RDB44-ANN200, F/2207A",0, -   
1220311024,GEAR HELICAL DWG 1XFM6564,DO210XDI30XZ30XB25 F/L1 BAG LOADING ,1,825
1220311033,GEAR HELICAL DWG 1XFM7109,DO170XDI60XW38XB43,1,385
1220311035,GEAR HELICAL DWG 1XFM7158,DO26XDI15XW10XB35,3,825
1220311034,GEAR HELICAL DWG 1XFM7159,DO90XDI28XW40XB26,3,"1,650"
1321300102,GEAR HELICAL DWG 5 604 052,"DO635XDI200XZ60XB158 ,P/N 302,F/GB DSN560",1,"107,184"
1321300104,GEAR HELICAL DWG 5 604 052 P/N 402,DO452XDI46XZ60XB100F/KILN MAIN REDUCER 2726,1,"50,755"
1321611133,GEAR HELICAL DWN 1XFM7178,"DO24XDI13.8XZ19XB20,F/3431A-3432A",10,"3,250"
1220303062,GEAR INTERNAL TOOTHED P/N:206,"F/PLANATRY TYPE:PZA 250,DWG:15718283,F/2102A",1,"194,138"
1320101209,GEAR INTERNAL TOOTHED P/N:206,"F/PLANATRY TYPE:PZA 250,DWG:5707880,F/2102A",2,"254,239"
1320101210,GEAR INTERNAL TOOTHED P/N:306,"F/PLANATRY TYPE:PZA 250,DWG:5708502,F/2102A",2,"183,338"
1320701698,"GEAR LP 710,0/3,10 POS. 202",F/L1 3213 A/D CEMENT MILL REDUCERS,0, -   
1321300100,GEAR P/N:202 F/REDUCER SDN560,F/KILN MAIN REDUCER 2726A ID: 619032,1,"223,131"
1320501035,GEAR PUMP P/N:10021312 W/O MOTOR,"F/MAIN GEAR UNIT,FLENDER DWG:KMP280",1,"20,330"
1220303042,GEAR RIM DO640XDI380XZ62XB80 W/6 HOLES,"6BOLTS&6SAFETY NUT P/N:3&4,F/2117A,2313A,2401A",1,"54,842"
1220303041,GEAR RIM DO720XDI450XZ58XB90,F/2201A,2,"56,283"
1320501036,GEAR RIM DWG HYDAC COM 8600007808-01,"P/N 0004 ,MAT RUBBER ,GEBR. PFEIFFER ",1,42
1320504069,GEAR RIM DWG HYDAC COM 8600011599-01,"P/N 0004 ,MAT RUBBER ,GEBR. PFEIFFER ",1,110
1310109007,GEAR RIM DWG MDF-1STM6082A,"DO640XDI377XZ62XB80, F/STACKER DRIVING UNIT ",1,"17,340"
1220313085,GEAR RP 315-0/4-94 P/N:302,"DWG:6182759, F/436BE16",0, -   
1220306063,GEAR SPECIAL F/HYDRANT DI9XZ14,F/FIRE FIGHTING WATER VALVES CEBS742-FX010-FX01,6,"8,100"
1220303011,GEAR SPUR DO140XDI20XZ60XB13,,1,"1,475"
1220303017,GEAR SPUR DO150XDI45XZ58XB25,,1,"6,863"
1220303006,GEAR SPUR DO150XDI50XZ58XB28,"2PCS ,F/2609 A-H",3,"43,535"
1220303013,GEAR SPUR DO170XDI35XZ55XB25,,1,800
1220303031,GEAR SPUR DO175XDI55XZ42XB50,,1,"15,265"
1220303014,GEAR SPUR DO178XDI35XZ59XB35,F/2920A,0, -   
1220303004,GEAR SPUR DO245XDI80XZ75XB30,,0, -   
1320101183,GEAR SPUR DO300XDI160XZ46XB80,"P/N 5708892 POS.341,F/2102A GB UNIT PB 2500",1,"35,927"
1320101187,GEAR SPUR DO300XDI160XZ46XB80,"P/N 5708892 POS.341,F/2102A GB UNIT PB 2500",4,"189,201"
1320101182,GEAR SPUR DO330XDI180XZ24XB180,"P/N 5714774 POS.241,F/2102A GB UNIT PB 2500",1,"122,015"
1320101186,GEAR SPUR DO330XDI180XZ24XB180,"P/N 5714774 POS.241,F/2102A GB UNIT PB 2500",4,"134,830"
1220303019,GEAR SPUR DO378XDI105XZ52XB104,"W/3H Dh=15MM  ITO,F/CEBS431-BL020 - 2712A-D ",3,"92,974"
1220303018,GEAR SPUR DO378XDI105XZ52XB104,MAT.SCM415H,1,"10,937"
1220303015,GEAR SPUR DO66XDI32XZ19XB65.5,,1,120
1220303032,GEAR SPUR DO67XDI24XZ14XB50,,1,"11,705"
1220303024,GEAR SPUR DO73XDI28XZ47XB15 NO 1-3,"W/3 HOLE THREADED ,F/4414A-B Gear",0, -   
